label,text
positif,"Aku tak mengerti apa yang kurasa Rindu yang tak pernah begitu hebatnya Aku mencintaimu lebih dari yang kau tahu Meski kau takkan pernah tahu Aku persembahkan hidupku untukmu Telah kurelakan hatiku padamu Namun kau masih bisu diam seribu bahasa"" "
positif,"telah lama kau tinggalkan ku sempat sia sia kan aku pergi jauh titipkan perih tak sedikitpun peduli seandainya kamu merasakan jadi aku sebentar saja tak kan sanggup hatimu terima sakit ini begitu parah pergi jauh titipkan perih tak sedikitpun peduli"
positif,"Namaku cinta, ketika kita bersamaBerbagi rasa untuk selamanya Namaku cinta, ketika kita bersama Berbagi rasa sepanjang usia Hingga tiba saatnya Aku pun melihat Cintaku yang khianat Cintaku berkhianat"""
positif,"Dirimu tak pernah menyadari Semua yang telah kau miliki Kau buang aku, tinggalkan diriku Kau hancurkan aku seakan ku tak pernah ada Aku kan bertahan Meski takkan mungkin Menerjang kisahnya Walau perih, walau perih Salahkah aku terlalu cinta"""
positif,"Ku harus menemui cintaku Mencari tahu hubungan kita Apa masih atau tlah berakhir Kau menggantungkan hubungan ini Kau diamkan aku tanpa sebab Maunya apa ku harus bagaimana Kasih? Sampai kapan kau gantung Cerita cintaku memberi harapan Hingga mungkin ku tak sanggup lagi"""
negatif,"Forgive me first love, but I'm too tired.I'm bored to say the least and I, I lack desire.Forgive me first love,Forgive me first love,Forgive me first love,Forgive me first love,Forgive me,Forgive me first"""
negatif,"I've made up my mind,Don't need to think it overIf I'm wrong, I am rightDon't need to look no further,This ain't lustI know this is loveBut, if I tell the worldI'll never say enough'cause it was not said to e"""
negatif,"Should I give up,Or should I just keep chasin' pavements?Even if it leads nowhereOr would it be a wasteEven if I knew my placeShould I leave it thereShould I give up,Or should I just keep chasin"""
negatif,"Day dreamer Sitting on the seaSoaking up the sunHe is a real loverOf making up the pastAnd feeling up his girlLike he's never felt her figure before"""
negatif,"A jaw dropperLooks good when he walksIs the subject of their talkHe would be hard to chaseBut good to catchAnd he could change the worldWith his hands behind his back, oh"""
negatif,"There's no way ICould describe himWhat I'll say isJust what I'm hoping for"""
negatif,"But I will find him sittin' on my doorstepWaiting for a surpriseAnd he will feel like he's been there for hoursAnd I can tell that he'll be there for lifeAnd I can tell that he'll be there for life"""
negatif,"When will I see you again?You left with no goodbye, not a single word was said,No final kiss to seal any seams,I had no idea of the state we were in,"""
negatif,"Forgive me first love, but I'm tired.I need to get away to feel again.Try to understand why,don't get so close to change my mind.Please wipe that look out of your eyes,it's bribing me to doubt"""
negatif,"This love has dried up and stayed behind,And if I stay I'll be a lieThen choke on words I'd always hide.Excuse me first love, but we're through.I need to taste a kiss from someone new."""
negatif,"Bersabarlah, sayang Aku akan pulang Jangan dengarkan Gosip murahan Tentang aku Berjanjilah, sayang Tuk selalu setia Meski 'ku tak selalu Di sampingmu Tak usah menangis meratapi aku Tak perlu kau """
negatif,"Aku tak mengerti apa yang kurasa Rindu yang tak pernah begitu hebatnya Aku mencintaimu lebih dari yang kau tahu Meski kau takkan pernah tahu Aku persembahkan hidupku untukmu Telah kurelakan "" "
negatif,"telah lama kau tinggalkan ku sempat sia sia kan aku pergi jauh titipkan perih tak sedikitpun peduli seandainya kamu merasakan jadi aku sebentar saja tak kan sanggup hatimu terima sakit ini begitu parah"""
negatif,"Namaku cinta, ketika kita bersamaBerbagi rasa untuk selamanya Namaku cinta, ketika kita bersama Berbagi rasa sepanjang usia Hingga tiba saatnya Aku pun melihat Cintaku yang khianat Cintaku """
negatif,"Dirimu tak pernah menyadari Semua yang telah kau miliki Kau buang aku, tinggalkan diriku Kau hancurkan aku seakan ku tak pernah ada Aku kan bertahan Meski takkan mungkin Menerjang kisahnya """
negatif,"Ku harus menemui cintaku Mencari tahu hubungan kita Apa masih atau tlah berakhir Kau menggantungkan hubungan ini Kau diamkan aku tanpa sebab Maunya apa kucintaku memberi harapan Hingga """
negatif,"will leave my heart at the door I won't say a wordThey've all been said before, you know So why don't we just play pretendLike we're not scared of what is coming next Or scared of having nothing left"""
negatif,"If this is my last night with youHold me like I'm more than just a friendGive me a memory I can useTake me by the hand while we do what lovers doIt matters how this endsCause what if I never love"""
negatif,"I don't need your honestyIt's already in your eyesAnd I'm sure my eyes, they speak for meNo one knows me like you doAnd since you're the only one that mattersTell me who do I run to?"""
negatif,"Why is it every time I think I've tried my hardestIt turns out it ain't enough, you're hardest you go back to herAnd I think that I know things may never changeI'm still hoping one day I might hear you say"""
negatif,"I make you feel a way you've never felt beforeAnd I'm all you need and that you never want moreThen you'd say all of the right things without a clueBut you'd save the best for lastLike I'm the one for"""
negatif,"This made you feel a way you've never felt beforeAnd I'm all you need and that you never want moreThen you'd say all of the right things without a clueBut you'd save the best for lastLike I'm the one f"""
negatif,"Sahabat sejatiku Hilangkah dari ingatanmu Di hari kita saling berbagi Dengan kotak sejuta mimpi Aku datang menghampirimu Kuperlihat semua hartaku  Kita s'lalu berpendapat Kita ini yang terhebat"" "
negatif,"biarkan saja kekasihmu pergi teruskan saja mimpi yang kau tunda kita temukan tempat yang layak sahabatku kupercaya kan langkah bersamamu tak kuragukan berbagi dengayang layak sahabatku""  "
negatif,"Tak mudah untuk kita Hadapi perbedaan yang berarti Tak mudah untuk kita Lewati rintangan silih berganti Kau masih berdiri Kita masih di sini Tunjukkan pada dunia Arti teman sejati Hadapilah dunia"" "
negatif,"Luruh Seluruh harapku Luruh Semua janjimu Ketika jalanku dan jalanmu Tak bertemu Hmm hmm Tuh runtuh Seluruh maknaku Ketika inginku dan inginmu tak bertemu Tak menyatu Di dalam pusaran mu"""
negatif,"Terlalu sadis caramu Menjadikan diriku Pelampiasan cintamu agar dia kembali padamu Tanpa perduli sakitnya aku Tega niannya caramu Menyingkirkan diriku Dari percintaan ini agar dia kembali padamu"""
negatif,"Padamu pemilik Hati yang tak pernah kumiliki Yang hadir sebagai Bagian dari kisah hidupku Engkau aku cinta Dengan segenap rasa di hati Selalu 'ku mencoba Menjadi seperti yang engkau minta Aku tahu"""
negatif,"Telah lama sendiri Dalam langkah sepi Tak pernah kukira bahwa akhirnya Tiada dirimu di sisiku Meski waktu datang Dan berlalu sampai kau tiada bertahan Semua takkan mampu mengubahku Hanykau"""
negatif,"Sandiwarakah selama ini Setelah sekian lama kita telah bersama Inikah akhir cerita cinta Yang sekalu aku banggakan Didepan mereka Entah dimana kusembunyikan rasa malu Kini harus aku lewati Sepi"""
negatif,"Detik waktu terus berjalan Berhias gelap dan terang Suka dan duka, tangis dan tawa Tergores bagai lukisan Seribu mimpi, berjuta sepi Hadir bagai teman sejati Di antara lelahnya jiwa Dalam resah mata"" "
negatif,"nanti pasti kau sesali keputusan dirimu meninggalkan aku demi dia yang kau fikir sempurna dan punya segalanya hingga kau pun berpaling dan meninggalkan ku mungkin sekarang kau masih berbahagia"""
negatif,"Tak mau lagi aku percaya Pada semua kasih sayangmu Tak mau lagi aku tersentuh Pada semua pengakuanmu Kamu takkan mengerti rasa sakit ini Kebohongan dari mulut manismu Pergilah kau hidupku"""
negatif,"Kau menyiksaku disini Dalam rasa bersalah yang kini Membunuhku secara perlahan Kau selalu menghindar dari Aku yang selalu mencoba Ungkapkan semua lewat Tatap mata ini Ternyata maafmu tak """
negatif,"will leave my heart at the door I won't say a wordThey've all been said before, you know So why don't we just play pretendLike we're not scared of what is coming next Or scared of having nothing left"""
negatif,"If this is my last night with youHold me like I'm more than just a friendGive me a memory I can useTake me by the hand while we do what lovers doIt matters how this endsCause what if I never love"""
negatif,"I don't need your honestyIt's already in your eyesAnd I'm sure my eyes, they speak for meNo one knows me like you doAnd since you're the only one that mattersTell me who do I run to?"""
negatif,"Why is it every time I think I've tried my hardestIt turns out it ain't enough, you're hardest you go back to herAnd I think that I know things may never changeI'm still hoping one day I might hear you say"""
negatif,"I make you feel a way you've never felt beforeAnd I'm all you need and that you never want moreThen you'd say all of the right things without a clueBut you'd save the best for lastLike I'm the one for"""
negatif,"This made you feel a way you've never felt beforeAnd I'm all you need and that you never want moreThen you'd say all of the right things without a clueBut you'd save the best for lastLike I'm the one f"""
negatif,"I've made up my mind,Don't need to think it overIf I'm wrong, I am rightDon't need to look no further,This ain't lustI know this is loveBut, if I tell the worldI'll never say enough'cause it was not said to e"""
negatif,"Should I give up,Or should I just keep chasin' pavements?Even if it leads nowhereOr would it be a wasteEven if I knew my placeShould I leave it thereShould I give up,Or should I just keep chasin"""
negatif,"Day dreamer Sitting on the seaSoaking up the sunHe is a real loverOf making up the pastAnd feeling up his girlLike he's never felt her figure before"""
negatif,"A jaw dropperLooks good when he walksIs the subject of their talkHe would be hard to chaseBut good to catchAnd he could change the worldWith his hands behind his back, oh"""
negatif,"There's no way ICould describe himWhat I'll say isJust what I'm hoping for"""
negatif,"But I will find him sittin' on my doorstepWaiting for a surpriseAnd he will feel like he's been there for hoursAnd I can tell that he'll be there for lifeAnd I can tell that he'll be there for life"""
negatif,"When will I see you again?You left with no goodbye, not a single word was said,No final kiss to seal any seams,I had no idea of the state we were in,"""
negatif,"Forgive me first love, but I'm tired.I need to get away to feel again.Try to understand why,don't get so close to change my mind.Please wipe that look out of your eyes,it's bribing me to doubt"""
negatif,"This love has dried up and stayed behind,And if I stay I'll be a lieThen choke on words I'd always hide.Excuse me first love, but we're through.I need to taste a kiss from someone new."""
negatif,"Forgive me first love, but I'm too tired.I'm bored to say the least and I, I lack desire.Forgive me first love,Forgive me first love,Forgive me first love,Forgive me first love,Forgive me,Forgive me first"""
positif,"Inilah akhirnya harus kuakhiri Sebelum cintamu semakin dalam Maafkan diriku memilih setia Walaupun ku tahu cintamu lebih besar darinya Maafkanlah diriku tak bisa bersamamu Walau besar dan tulusnya rasa cintamu"
positif,"Ketika mimpimu Yang begitu indah Tak pernah terwujud Ya sudahlah Saat kau berlari Mengejar anganmu Dan tak pernah sampai Ya sudahlah Hm-hm-hm ... Apa pun"""
positif,"Tak ada sedikit pun sesalku Telah bertahan dengan setiaku Walau di akhir jalanKu harus melepaskan dirimu Ternyata tak mampu kau melihat Dalamnya cintaku yang hebat Hingga ada alasan"""
positif,"Aku tak mengerti apa yang kurasa Rindu yang tak pernah begitu hebatnya Aku mencintaimu lebih dari yang kau tahu Meski kau takkan pernah tahu Aku persembahkan hidupku untukmu Telah kurelakan hatiku padamu"""
positif,"wajar curiga... tapi bukan curiga yang tak wajar itu hanya akan membuat aku jadi hilang rasa wajar cemburu tapi bukan cemburu yang tak wajar itu hanya akan"""
positif,"Sayang, aku ingin berbicara kepadamu Tentang apa yang tengah aku rasakan Ada apa, ada apa, katakanlah semuanya 'Ku 'kan dengarkan, duhai cintaku Bila nanti orang"""
positif,"Cinta itu buta dan tuli Tak melihat tak mendengar Namun datangnya dari hati Tidak bisa dipungkiri Itu benar memang benar Cinta itu ruang dan waktu Tak sekejap"""
positif,"I found a love for me Darling just dive right in And follow my lead Well I found a girl beautiful and sweet  I never knew you were the someone waiting for me Cause"""
positif,"Laguku ini tentang rindu ibu Pada saat ibu tak di sisiku Berbagai macam rasa ku rindukan dia Ibu ku sayang, sayangilah aku Ibu ku cinta, cintailah aku Dimana kau berada ibuku tercinta Ku rindu belaian kasih ,""sayang ibu"""
